datetime,log key,log data,,,,
2018:10:01:20:09:43:493,0-Account-Entry,: new entry for SELL: price=756479: size=0.03: id=JRF20181001-110944-839095,,,,
2018:10:01:20:09:43:493,1-MMStrategy,ordered sell @756479,,,,
2018:10:01:20:09:43:670,2-Account-Entry,: new entry for BUY: price=756309: size=0.03: id=JRF20181001-110944-139849,,,,
2018:10:01:20:09:43:670,3-MMStrategy,ordered buy @756309,,,,
2018:10:01:20:09:43:774,4-Accoubt-getAllOrders,: cancelling SELL for 756479 x 0.03 id=JRF20181001-110944-839095,,,,
2018:10:01:20:09:43:895,5-Accoubt-getAllOrders,: cancelling BUY for 756309 x 0.03 id=JRF20181001-110944-139849,,,,
2018:10:01:20:09:43:927,6-Account-CheckCancel,sendChiledOrderAsync-dummy,,,,
2018:10:01:20:09:43:998,7-Account-CheckCancel,getChildOrderAsync-ACTIVE,,,,
2018:10:01:20:09:44:582,8-Account-CheckCancel,getChildOrderAsync-ACTIVE,,,,
2018:10:01:20:09:45:181,9-Account-CheckCancel,getChildOrderAsync-ACTIVE,,,,
2018:10:01:20:09:45:722,10-Account-CheckCancel,getChildOrderAsync-ACTIVE,,,,
2018:10:01:20:09:46:262,11-Account-CheckCancel,getChildOrderAsync-ACTIVE,,,,
2018:10:01:20:09:46:372,12-MMStrategy,hold=0, order>0, board.spread > entry_spread, cancelling sell order, id=JRF20181001-110944-839095
2018:10:01:20:09:46:430,13-MMStrategy,hold=0, order>0, board.spread > entry_spread, cancelling sell order, id=JRF20181001-110944-839095
2018:10:01:20:09:46:486,14-Account-CancelOrder,"failed cancel order: {""status"":-111","error_message:""Order not found""",data:null},,
2018:10:01:20:09:46:492,15-MMStrategy,hold=0, order>0, board.spread > entry_spread, cancelling sell order, id=JRF20181001-110944-839095
2018:10:01:20:09:46:829,16-Account-CheckCancel,getChildOrderAsync-ACTIVE,,,,
2018:10:01:20:09:47:373,17-Account-CheckCancel,getChildOrderAsync-ACTIVE,,,,
2018:10:01:20:09:47:880,18-MMStrategy,hold=0, order>0, board.spread > entry_spread, cancelling sell order, id=JRF20181001-110944-839095
2018:10:01:20:09:47:909,19-Account-CheckCancel,getChildOrderAsync-ACTIVE,,,,
2018:10:01:20:09:47:997,20-MMStrategy,hold=0, order>0, board.spread > entry_spread, cancelling sell order, id=JRF20181001-110944-839095
2018:10:01:20:09:48:133,21-MMStrategy,hold=0, order>0, board.spread > entry_spread, cancelling sell order, id=JRF20181001-110944-839095
2018:10:01:20:09:48:164,22-Account-CancelOrder,"failed cancel order: {""status"":-111","error_message:""Order not found""",data:null},,
2018:10:01:20:09:48:165,23-MMStrategy,hold=0, order>0, board.spread > entry_spread, cancelling sell order, id=JRF20181001-110944-839095
2018:10:01:20:09:48:291,24-MMStrategy,hold=0, order>0, board.spread > entry_spread, cancelling sell order, id=JRF20181001-110944-839095
2018:10:01:20:09:48:334,25-Account-CancelOrder,"failed cancel order: {""status"":-111","error_message:""Order not found""",data:null},,
2018:10:01:20:09:48:341,26-MMStrategy,hold=0, order>0, board.spread > entry_spread, cancelling sell order, id=JRF20181001-110944-839095
2018:10:01:20:09:48:390,27-MMStrategy,hold=0, order>0, board.spread > entry_spread, cancelling sell order, id=JRF20181001-110944-839095
2018:10:01:20:09:48:458,28-Account-CancelOrder,"failed cancel order: {""status"":-111","error_message:""Order not found""",data:null},,
2018:10:01:20:09:48:475,29-MMStrategy,hold=0, order>0, board.spread > entry_spread, cancelling sell order, id=JRF20181001-110944-839095
2018:10:01:20:09:48:510,30-Account-CheckCancel,getChildOrderAsync-ACTIVE,,,,
2018:10:01:20:09:48:540,31-Account-CancelOrder,"failed cancel order: {""status"":-111","error_message:""Order not found""",data:null},,
2018:10:01:20:09:48:564,32-MMStrategy,hold=0, order>0, board.spread > entry_spread, cancelling sell order, id=JRF20181001-110944-839095
2018:10:01:20:09:48:616,33-Account-CancelOrder,"failed cancel order: {""status"":-111","error_message:""Order not found""",data:null},,
2018:10:01:20:09:48:622,34-MMStrategy,hold=0, order>0, board.spread > entry_spread, cancelling sell order, id=JRF20181001-110944-839095
2018:10:01:20:09:48:659,35-Account-CancelOrder,"failed cancel order: {""status"":-111","error_message:""Order not found""",data:null},,
2018:10:01:20:09:48:667,36-MMStrategy,hold=0, order>0, board.spread > entry_spread, cancelling sell order, id=JRF20181001-110944-839095
2018:10:01:20:09:48:735,37-Account-CancelOrder,"failed cancel order: {""status"":-111","error_message:""Order not found""",data:null},,
2018:10:01:20:09:48:743,38-MMStrategy,hold=0, order>0, board.spread > entry_spread, cancelling sell order, id=JRF20181001-110944-839095
2018:10:01:20:09:48:791,39-Account-CancelOrder,"failed cancel order: {""status"":-111","error_message:""Order not found""",data:null},,
2018:10:01:20:09:49:170,40-Account-CheckCancel,getChildOrderAsync-ACTIVE,,,,
2018:10:01:20:09:49:724,41-Account-CheckCancel,getChildOrderAsync-ACTIVE,,,,
2018:10:01:20:09:50:260,42-Account-CheckCancel,getChildOrderAsync-ACTIVE,,,,
2018:10:01:20:09:50:710,43-MMStrategy,hold=0, order>0, board.spread > entry_spread, cancelling sell order, id=JRF20181001-110944-839095
