datetime,log key,log data
2018:10:02:23:17:32:620,0-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:17:33:635,1-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:17:34:635,2-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:17:35:645,3-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:17:36:654,4-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:17:37:657,5-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:17:38:668,6-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:17:39:674,7-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:17:40:676,8-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:17:41:677,9-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:17:42:679,10-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:17:43:681,11-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:17:44:692,12-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:17:45:700,13-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:17:46:710,14-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:17:47:723,15-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:17:48:726,16-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:17:49:749,17-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:17:50:758,18-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:17:51:760,19-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:17:52:763,20-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:17:53:774,21-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:17:54:803,22-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:17:55:805,23-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:17:56:817,24-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:17:57:817,25-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:17:58:822,26-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:17:59:875,27-Account-CheckCancel,cancelling = false, num orders=0
