datetime,bid,ask,spread
2018:09:02:21:06:44:922,813482,813412,70
2018:09:02:21:06:45:071,813491,813443,48
2018:09:02:21:06:45:934,813470,813439,31
2018:09:02:21:06:46:193,813475,813463,12
2018:09:02:21:06:46:353,813475,813458,17
2018:09:02:21:06:46:464,813475,813458,17
2018:09:02:21:06:46:600,813475,813466,9
2018:09:02:21:06:46:800,813475,813464,11
2018:09:02:21:06:46:961,813479,813475,4
2018:09:02:21:06:47:140,813518,813475,43
2018:09:02:21:06:47:371,813518,813477,41
2018:09:02:21:06:47:607,813508,813480,28
2018:09:02:21:06:47:872,813508,813480,28
2018:09:02:21:06:48:180,813495,813476,19
2018:09:02:21:06:48:327,813495,813476,19
2018:09:02:21:06:48:487,813495,813476,19
2018:09:02:21:06:48:636,813508,813476,32
2018:09:02:21:06:48:819,813505,813450,55
2018:09:02:21:06:49:034,813490,813454,36
2018:09:02:21:06:49:916,813507,813477,30
2018:09:02:21:06:50:060,813556,813555,1
2018:09:02:21:06:50:179,813556,813555,1
2018:09:02:21:06:50:307,813556,813555,1
2018:09:02:21:06:50:426,813556,813555,1
2018:09:02:21:06:50:537,813556,813555,1
2018:09:02:21:06:50:659,813556,813555,1
2018:09:02:21:06:50:891,813556,813555,1
2018:09:02:21:06:51:276,813566,813555,11
2018:09:02:21:06:52:518,813549,813540,9
2018:09:02:21:06:52:853,813544,813508,36
2018:09:02:21:06:53:010,813544,813508,36
2018:09:02:21:06:53:136,813544,813508,36
2018:09:02:21:06:53:259,813544,813508,36
2018:09:02:21:06:53:411,813545,813511,34
2018:09:02:21:06:53:805,813528,813525,3
2018:09:02:21:06:54:122,813528,813525,3
2018:09:02:21:06:54:315,813528,813434,94
2018:09:02:21:06:54:562,813527,813522,5
2018:09:02:21:06:54:727,813527,813522,5
2018:09:02:21:06:54:864,813527,813522,5
2018:09:02:21:06:55:045,813527,813522,5
2018:09:02:21:06:55:222,813527,813522,5
2018:09:02:21:06:55:347,813508,813350,158
2018:09:02:21:06:55:782,813508,813350,158
2018:09:02:21:06:56:305,813401,813382,19
2018:09:02:21:06:56:479,813498,813374,124
2018:09:02:21:06:56:603,813498,813334,164
2018:09:02:21:06:56:697,813498,813334,164
2018:09:02:21:06:57:196,813498,813374,124
2018:09:02:21:06:57:316,813399,813385,14
2018:09:02:21:06:57:443,813399,813385,14
2018:09:02:21:06:57:822,813399,813385,14
2018:09:02:21:06:57:949,813380,813367,13
2018:09:02:21:06:58:074,813400,813399,1
2018:09:02:21:06:58:619,813370,813335,35
2018:09:02:21:06:58:734,813370,813335,35
2018:09:02:21:06:58:869,813370,813335,35
2018:09:02:21:06:59:022,813370,813335,35
2018:09:02:21:06:59:165,813365,813338,27
2018:09:02:21:06:59:505,813365,813338,27
2018:09:02:21:07:00:204,813365,813208,157
2018:09:02:21:07:01:182,813365,813208,157
2018:09:02:21:07:01:371,813260,813230,30
2018:09:02:21:07:01:493,813260,813230,30
2018:09:02:21:07:01:634,813200,813188,12
2018:09:02:21:07:01:760,813200,813188,12
2018:09:02:21:07:01:868,813200,813188,12
2018:09:02:21:07:01:977,813200,813188,12
2018:09:02:21:07:02:091,813200,813188,12
2018:09:02:21:07:02:218,813250,813207,43
2018:09:02:21:07:02:326,813250,813207,43
2018:09:02:21:07:02:451,813200,813155,45
2018:09:02:21:07:02:557,813200,813155,45
2018:09:02:21:07:02:839,813200,813155,45
2018:09:02:21:07:02:952,813199,813150,49
2018:09:02:21:07:03:080,813190,813150,40
2018:09:02:21:07:03:203,813190,813150,40
2018:09:02:21:07:03:330,813190,813138,52
2018:09:02:21:07:03:459,813190,813138,52
2018:09:02:21:07:03:580,813190,813138,52
2018:09:02:21:07:03:767,813190,813119,71
2018:09:02:21:07:03:949,813179,813148,31
2018:09:02:21:07:04:061,813179,813119,60
2018:09:02:21:07:04:195,813179,813119,60
2018:09:02:21:07:04:312,813179,813119,60
2018:09:02:21:07:04:428,813179,813119,60
2018:09:02:21:07:04:532,813178,813119,59
2018:09:02:21:07:04:664,813178,813119,59
2018:09:02:21:07:05:697,813178,813013,165
2018:09:02:21:07:05:909,813027,813020,7
2018:09:02:21:07:06:471,813027,813000,27
2018:09:02:21:07:06:645,813000,812975,25
2018:09:02:21:07:06:760,813000,812998,2
2018:09:02:21:07:06:859,813000,812975,25
2018:09:02:21:07:06:967,813016,812918,98
2018:09:02:21:07:07:077,813026,813011,15
2018:09:02:21:07:07:184,813016,812918,98
2018:09:02:21:07:07:336,813026,813011,15
2018:09:02:21:07:07:444,812999,812908,91
2018:09:02:21:07:07:550,812999,812908,91
2018:09:02:21:07:07:673,812990,812983,7
2018:09:02:21:07:07:795,812990,812983,7
2018:09:02:21:07:07:919,812990,812983,7
2018:09:02:21:07:08:064,812990,812983,7
2018:09:02:21:07:08:219,812990,812983,7
2018:09:02:21:07:08:351,812990,812983,7
2018:09:02:21:07:08:464,812992,812979,13
2018:09:02:21:07:08:631,812992,812979,13
2018:09:02:21:07:08:804,812998,812900,98
2018:09:02:21:07:08:943,812982,812977,5
2018:09:02:21:07:09:068,812982,812977,5
2018:09:02:21:07:09:240,812982,812977,5
2018:09:02:21:07:09:333,812982,812980,2
2018:09:02:21:07:09:440,812982,812980,2
2018:09:02:21:07:09:564,812982,812980,2
2018:09:02:21:07:09:849,812980,812952,28
2018:09:02:21:07:10:145,812978,812953,25
2018:09:02:21:07:10:253,812978,812953,25
2018:09:02:21:07:10:386,812978,812953,25
2018:09:02:21:07:10:501,812978,812953,25
2018:09:02:21:07:10:612,812975,812970,5
2018:09:02:21:07:10:735,812978,812954,24
2018:09:02:21:07:10:849,812978,812954,24
2018:09:02:21:07:10:956,812972,812947,25
2018:09:02:21:07:11:066,812974,812930,44
2018:09:02:21:07:11:178,812972,812947,25
2018:09:02:21:07:11:271,812974,812930,44
2018:09:02:21:07:11:389,812973,812930,43
2018:09:02:21:07:11:524,812973,812930,43
2018:09:02:21:07:11:631,812979,812933,46
2018:09:02:21:07:11:740,812979,812959,20
2018:09:02:21:07:11:867,812979,812959,20
2018:09:02:21:07:11:986,812979,812959,20
2018:09:02:21:07:12:169,812979,812959,20
2018:09:02:21:07:12:386,812968,812881,87
2018:09:02:21:07:12:540,812968,812881,87
2018:09:02:21:07:12:661,812962,812936,26
2018:09:02:21:07:12:758,812884,812879,5
2018:09:02:21:07:12:883,812884,812879,5
2018:09:02:21:07:12:979,812884,812879,5
2018:09:02:21:07:13:147,812884,812879,5
2018:09:02:21:07:13:379,812884,812879,5
2018:09:02:21:07:13:492,812883,812830,53
2018:09:02:21:07:13:619,812832,812830,2
2018:09:02:21:07:13:819,812832,812830,2
