id,datetime,side,price,size,buy_child_order_acceptance_id,sell_child_order_acceptance_id
400152426,2018:09:02:06:50:56:669,SELL,808544,0.0893242,JRF20180902-065056-773821,JRF20180902-065056-800426
400152427,2018:09:02:06:50:56:856,BUY,808546,0.02,JRF20180902-065056-540887,JRF20180902-065056-200523
400152432,2018:09:02:06:50:57:325,BUY,808550,0.02,JRF20180902-065057-016562,JRF20180902-065051-016515
400152433,2018:09:02:06:50:57:419,BUY,808550,0.01,JRF20180902-065057-111540,JRF20180902-065051-016515
400152434,2018:09:02:06:50:57:544,SELL,808548,0.01,JRF20180902-065057-200526,JRF20180902-065057-016565
400152435,2018:09:02:06:50:57:560,BUY,808550,0.01,JRF20180902-065055-086142,JRF20180902-065051-016515
400152436,2018:09:02:06:50:57:731,SELL,808548,0.0931251,JRF20180902-065057-200526,JRF20180902-065057-050230
400152437,2018:09:02:06:50:57:935,SELL,808548,0.281132,JRF20180902-065057-200526,JRF20180902-065057-966826
400152438,2018:09:02:06:50:57:966,BUY,808549,0.02,JRF20180902-065057-200533,JRF20180902-065057-966825
400152440,2018:09:02:06:50:58:106,SELL,808547,0.24765925,JRF20180902-065056-050221,JRF20180902-065058-540890
400152441,2018:09:02:06:50:58:106,SELL,808544,0.31699392,JRF20180902-065056-773821,JRF20180902-065058-540890
400152442,2018:09:02:06:50:58:106,SELL,808541,0.01,JRF20180902-065056-515115,JRF20180902-065058-540890
400152443,2018:09:02:06:50:58:106,SELL,808528,0.141,JRF20180902-065056-773823,JRF20180902-065058-540890
400152444,2018:09:02:06:50:58:106,SELL,808506,0.00455502,JRF20180902-065046-453132,JRF20180902-065058-540890
400152445,2018:09:02:06:50:58:106,SELL,808502,0.14,JRF20180902-065047-540853,JRF20180902-065058-540890
400152446,2018:09:02:06:50:58:106,SELL,808502,0.01,JRF20180902-065050-800402,JRF20180902-065058-540890
400152447,2018:09:02:06:50:58:106,SELL,808501,0.04,JRF20180902-065049-800398,JRF20180902-065058-540890
400152448,2018:09:02:06:50:58:106,SELL,808501,0.01,JRF20180902-065049-800400,JRF20180902-065058-540890
400152449,2018:09:02:06:50:58:106,SELL,808501,0.01101919,JRF20180902-065053-361509,JRF20180902-065058-540890
400152450,2018:09:02:06:50:58:106,SELL,808501,0.01,JRF20180902-065054-872504,JRF20180902-065058-540890
400152451,2018:09:02:06:50:58:106,SELL,808501,0.05877262,JRF20180902-065055-111534,JRF20180902-065058-540890
400152452,2018:09:02:06:50:58:294,BUY,808538,0.02,JRF20180902-065058-540891,JRF20180902-065057-788170
400152453,2018:09:02:06:50:58:435,SELL,808515,0.01,JRF20180902-065058-083505,JRF20180902-065058-086612
400152455,2018:09:02:06:50:58:528,SELL,808515,0.01,JRF20180902-065058-083505,JRF20180902-065058-540893
400152456,2018:09:02:06:50:58:528,BUY,808538,0.013589,JRF20180902-065058-043927,JRF20180902-065057-788170
400152458,2018:09:02:06:50:58:716,BUY,808537,0.24765925,JRF20180902-065058-050237,JRF20180902-065058-966828
400152459,2018:09:02:06:50:58:716,BUY,808537,0.31699392,JRF20180902-065058-050237,JRF20180902-065058-016577
400152460,2018:09:02:06:50:58:716,BUY,808538,0.01,JRF20180902-065058-050237,JRF20180902-065058-151331
400152461,2018:09:02:06:50:58:716,BUY,808547,0.01,JRF20180902-065058-050237,JRF20180902-065058-697437
400152462,2018:09:02:06:50:58:716,BUY,808548,0.00267826,JRF20180902-065058-050237,JRF20180902-065057-966827
400152463,2018:09:02:06:50:58:716,BUY,808548,0.281132,JRF20180902-065058-050237,JRF20180902-065058-016576
400152464,2018:09:02:06:50:58:716,BUY,808548,0.09044684,JRF20180902-065058-050237,JRF20180902-065058-200537
400152465,2018:09:02:06:50:58:716,BUY,808549,0.04108973,JRF20180902-065058-050237,JRF20180902-065057-773827
400152466,2018:09:02:06:50:58:731,SELL,808515,0.07022292,JRF20180902-065058-083505,JRF20180902-065058-361526
400152467,2018:09:02:06:50:58:731,SELL,808501,0.02101848,JRF20180902-065055-111534,JRF20180902-065058-361526
400152470,2018:09:02:06:50:58:856,SELL,808548,0.01,JRF20180902-065058-640092,JRF20180902-065058-406791
400152471,2018:09:02:06:50:58:872,SELL,808518,0.02,JRF20180902-065058-361527,JRF20180902-065058-540894
400152472,2018:09:02:06:50:58:872,SELL,808516,0.1,JRF20180902-065058-016578,JRF20180902-065058-540894
400152473,2018:09:02:06:50:58:872,SELL,808501,0.0234412,JRF20180902-065055-111534,JRF20180902-065058-540894
400152474,2018:09:02:06:50:58:872,SELL,808500,0.4798016,JRF20180902-065044-361464,JRF20180902-065058-540894
400152475,2018:09:02:06:50:58:872,SELL,808500,0.3767572,JRF20180902-065044-016475,JRF20180902-065058-540894
400152476,2018:09:02:06:50:58:966,SELL,808500,1,JRF20180902-065044-016475,JRF20180902-065058-453173
400152479,2018:09:02:06:50:59:122,BUY,808537,0.01,JRF20180902-065059-697438,JRF20180902-065058-406791
400152481,2018:09:02:06:50:59:325,SELL,808500,0.04,JRF20180902-065044-016475,JRF20180902-065059-800439
400152483,2018:09:02:06:50:59:591,BUY,808536,0.01,JRF20180902-065059-540895,JRF20180902-065059-043931
400152484,2018:09:02:06:50:59:591,BUY,808537,0.02,JRF20180902-065059-540895,JRF20180902-065058-406791
400152485,2018:09:02:06:50:59:591,BUY,808546,0.02,JRF20180902-065059-540895,JRF20180902-065059-151339
400152486,2018:09:02:06:50:59:591,BUY,808549,0.04823447,JRF20180902-065059-540895,JRF20180902-065057-773827
400152487,2018:09:02:06:50:59:591,BUY,808549,0.00176553,JRF20180902-065059-540895,JRF20180902-065057-200531
400152488,2018:09:02:06:50:59:685,BUY,808549,0.00823447,JRF20180902-065059-453181,JRF20180902-065057-200531
400152489,2018:09:02:06:50:59:685,BUY,808549,0.01,JRF20180902-065059-453181,JRF20180902-065058-151337
400152490,2018:09:02:06:50:59:685,BUY,808550,0.08176553,JRF20180902-065059-453181,JRF20180902-065051-016515
400152491,2018:09:02:06:50:59:747,SELL,808500,0.0859013,JRF20180902-065044-016475,JRF20180902-065059-800440
400152492,2018:09:02:06:50:59:981,SELL,808500,0.8,JRF20180902-065044-016475,JRF20180902-065059-453182
400152493,2018:09:02:06:51:00:106,BUY,808533,0.02,JRF20180902-065059-083522,JRF20180902-065059-200543
400152494,2018:09:02:06:51:00:106,BUY,808535,0.03,JRF20180902-065059-083522,JRF20180902-065059-083520
400152495,2018:09:02:06:51:00:231,SELL,808500,0.08,JRF20180902-065044-016475,JRF20180902-065100-361529
400152496,2018:09:02:06:51:00:294,SELL,808500,0.6173415,JRF20180902-065044-016475,JRF20180902-065100-151345
400152497,2018:09:02:06:51:00:294,SELL,808500,0.2,JRF20180902-065049-016502,JRF20180902-065100-151345
400152498,2018:09:02:06:51:00:294,SELL,808499,0.01,JRF20180902-065054-515102,JRF20180902-065100-151345
400152499,2018:09:02:06:51:00:294,SELL,808493,0.01,JRF20180902-065050-200502,JRF20180902-065100-151345
400152500,2018:09:02:06:51:00:294,SELL,808489,0.2,JRF20180902-065050-016510,JRF20180902-065100-151345
400152501,2018:09:02:06:51:00:294,SELL,808488,0.2,JRF20180902-065051-016516,JRF20180902-065100-151345
400152502,2018:09:02:06:51:00:294,SELL,808485,0.01,JRF20180902-065058-406793,JRF20180902-065100-151345
400152503,2018:09:02:06:51:00:294,SELL,808481,0.09022292,JRF20180902-065058-406786,JRF20180902-065100-151345
400152504,2018:09:02:06:51:00:294,SELL,808465,0.02989,JRF20180902-065059-453174,JRF20180902-065100-151345
400152505,2018:09:02:06:51:00:294,SELL,808462,0.01,JRF20180902-065048-800397,JRF20180902-065100-151345
400152506,2018:09:02:06:51:00:294,SELL,808455,0.01,JRF20180902-065046-111501,JRF20180902-065100-151345
400152507,2018:09:02:06:51:00:294,SELL,808455,0.3,JRF20180902-065059-773832,JRF20180902-065100-151345
400152508,2018:09:02:06:51:00:294,SELL,808455,0.45,JRF20180902-065059-016586,JRF20180902-065100-151345
400152509,2018:09:02:06:51:00:294,SELL,808454,1.49456201,JRF20180902-065043-200465,JRF20180902-065100-151345
400152510,2018:09:02:06:51:00:294,SELL,808450,0.01,JRF20180902-065052-151308,JRF20180902-065100-151345
400152511,2018:09:02:06:51:00:294,SELL,808448,0.2,JRF20180902-065057-016571,JRF20180902-065100-151345
400152512,2018:09:02:06:51:00:294,SELL,808447,0.09022292,JRF20180902-065058-640091,JRF20180902-065100-151345
400152513,2018:09:02:06:51:00:294,SELL,808441,0.2,JRF20180902-065052-016523,JRF20180902-065100-151345
400152514,2018:09:02:06:51:00:294,SELL,808440,0.2,JRF20180902-065055-016548,JRF20180902-065100-151345
400152515,2018:09:02:06:51:00:294,SELL,808440,0.03,JRF20180902-065056-640080,JRF20180902-065100-151345
400152516,2018:09:02:06:51:00:294,SELL,808440,0.2,JRF20180902-065056-016556,JRF20180902-065100-151345
400152517,2018:09:02:06:51:00:294,SELL,808438,0.01,JRF20180902-065058-151332,JRF20180902-065100-151345
400152518,2018:09:02:06:51:00:294,SELL,808437,0.01,JRF20180902-065054-540885,JRF20180902-065100-151345
400152519,2018:09:02:06:51:00:294,SELL,808436,0.01,JRF20180902-065035-082483,JRF20180902-065100-151345
400152520,2018:09:02:06:51:00:294,SELL,808429,0.2,JRF20180902-065054-016533,JRF20180902-065100-151345
400152521,2018:09:02:06:51:00:294,SELL,808428,0.05,JRF20180902-065052-453159,JRF20180902-065100-151345
400152522,2018:09:02:06:51:00:294,SELL,808427,0.0598111,JRF20180902-065046-966787,JRF20180902-065100-151345
400152523,2018:09:02:06:51:00:325,BUY,808427,0.01,JRF20180902-065100-406797,JRF20180902-065100-151345
400152524,2018:09:02:06:51:00:325,BUY,808427,0.01,JRF20180902-065100-515146,JRF20180902-065100-151345
400152525,2018:09:02:06:51:00:434,BUY,808427,0.01,JRF20180902-065100-086831,JRF20180902-065100-151345
400152526,2018:09:02:06:51:00:450,SELL,808426,0.8,JRF20180902-065057-800429,JRF20180902-065100-050254
400152527,2018:09:02:06:51:00:450,SELL,808425,0.011,JRF20180902-065056-086166,JRF20180902-065100-050254
400152528,2018:09:02:06:51:00:450,SELL,808425,0.03,JRF20180902-065100-361530,JRF20180902-065100-050254
400152529,2018:09:02:06:51:00:450,SELL,808424,0.02,JRF20180902-065043-540836,JRF20180902-065100-050254
400152530,2018:09:02:06:51:00:450,SELL,808424,0.032,JRF20180902-065055-773820,JRF20180902-065100-050254
400152531,2018:09:02:06:51:00:450,SELL,808424,0.06,JRF20180902-065059-515145,JRF20180902-065100-050254
400152532,2018:09:02:06:51:00:450,SELL,808423,0.047,JRF20180902-065056-111537,JRF20180902-065100-050254
400152533,2018:09:02:06:51:00:528,SELL,808423,0.003,JRF20180902-065056-111537,JRF20180902-065100-697444
400152534,2018:09:02:06:51:00:528,SELL,808423,0.1,JRF20180902-065058-227681,JRF20180902-065100-697444
400152535,2018:09:02:06:51:00:544,SELL,808422,0.097,JRF20180902-065044-361462,JRF20180902-065100-697444
400152536,2018:09:02:06:51:00:559,BUY,808427,0.06794955,JRF20180902-065100-227688,JRF20180902-065100-151345
400152537,2018:09:02:06:51:00:559,BUY,808500,0.01,JRF20180902-065100-227688,JRF20180902-065100-697443
400152538,2018:09:02:06:51:00:606,SELL,808501,0.05,JRF20180902-065100-227688,JRF20180902-065100-453186
400152539,2018:09:02:06:51:00:841,SELL,808501,0.0865388,JRF20180902-065100-227688,JRF20180902-065100-361534
400152540,2018:09:02:06:51:00:872,SELL,808501,0.02,JRF20180902-065100-227688,JRF20180902-065100-039964
400152541,2018:09:02:06:51:00:950,SELL,808501,0.1,JRF20180902-065100-227688,JRF20180902-065100-697446
400152542,2018:09:02:06:51:00:981,SELL,808501,0.16551165,JRF20180902-065100-227688,JRF20180902-065100-966843
400152543,2018:09:02:06:51:00:981,SELL,808500,0.13448835,JRF20180902-065100-361533,JRF20180902-065100-966843
400152544,2018:09:02:06:51:00:997,SELL,808500,0.01,JRF20180902-065100-361533,JRF20180902-065055-086129
400152545,2018:09:02:06:51:00:997,BUY,808513,0.119664,JRF20180902-065100-800447,JRF20180902-065100-540896
400152546,2018:09:02:06:51:00:997,BUY,808523,0.08,JRF20180902-065100-800447,JRF20180902-065100-050257
400152547,2018:09:02:06:51:00:997,BUY,808527,0.02,JRF20180902-065100-800447,JRF20180902-065100-200550
400152548,2018:09:02:06:51:00:997,BUY,808530,0.02,JRF20180902-065100-800447,JRF20180902-065100-361531
400152549,2018:09:02:06:51:00:997,BUY,808534,0.01,JRF20180902-065100-800447,JRF20180902-065100-083526
400152550,2018:09:02:06:51:00:997,BUY,808535,0.02,JRF20180902-065100-800447,JRF20180902-065059-083520
400152551,2018:09:02:06:51:01:013,BUY,808540,0.230336,JRF20180902-065100-800447,JRF20180902-065100-966844
400152552,2018:09:02:06:51:01:106,SELL,808500,0.02,JRF20180902-065100-361533,JRF20180902-065101-151350
400152553,2018:09:02:06:51:01:138,BUY,808540,0.01,JRF20180902-065100-788178,JRF20180902-065100-966844
400152554,2018:09:02:06:51:01:169,SELL,808500,0.03,JRF20180902-065100-361533,JRF20180902-065100-111557
400152555,2018:09:02:06:51:01:184,SELL,808500,0.00551165,JRF20180902-065100-361533,JRF20180902-065101-773835
400152556,2018:09:02:06:51:01:200,SELL,808427,0.01,JRF20180902-065100-515151,JRF20180902-065050-085285
400152557,2018:09:02:06:51:01:200,SELL,808423,0.01,JRF20180902-065101-800448,JRF20180902-065050-085285
400152558,2018:09:02:06:51:01:309,BUY,808481,0.01,JRF20180902-065101-966845,JRF20180902-065101-773835
400152559,2018:09:02:06:51:01:544,BUY,808481,0.281132,JRF20180902-065101-966847,JRF20180902-065101-773835
400152560,2018:09:02:06:51:01:716,SELL,808433,0.0863843,JRF20180902-065101-800456,JRF20180902-065101-800457
400152561,2018:09:02:06:51:01:747,SELL,808433,0.1539517,JRF20180902-065101-800456,JRF20180902-065101-800458
400152562,2018:09:02:06:51:01:747,SELL,808432,0.05,JRF20180902-065101-800453,JRF20180902-065101-800458
400152563,2018:09:02:06:51:01:747,SELL,808430,0.08,JRF20180902-065101-016596,JRF20180902-065101-800458
400152564,2018:09:02:06:51:01:747,SELL,808429,0.030682,JRF20180902-065101-151354,JRF20180902-065101-800458
400152565,2018:09:02:06:51:01:747,SELL,808426,0.02,JRF20180902-065101-050268,JRF20180902-065101-800458
400152566,2018:09:02:06:51:01:747,SELL,808423,0.03,JRF20180902-065101-800448,JRF20180902-065101-800458
400152567,2018:09:02:06:51:01:747,SELL,808423,0.01,JRF20180902-065101-540899,JRF20180902-065101-800458
400152568,2018:09:02:06:51:01:747,SELL,808422,0.003,JRF20180902-065044-361462,JRF20180902-065101-800458
400152569,2018:09:02:06:51:01:747,SELL,808422,0.01,JRF20180902-065043-394519,JRF20180902-065101-800458
400152570,2018:09:02:06:51:01:747,SELL,808422,0.01,JRF20180902-065043-872444,JRF20180902-065101-800458
400152571,2018:09:02:06:51:01:747,SELL,808422,1.6023663,JRF20180902-065048-151283,JRF20180902-065101-800458
400152572,2018:09:02:06:51:01:825,BUY,808461,0.3,JRF20180902-065100-394598,JRF20180902-065101-151355
400152573,2018:09:02:06:51:01:825,BUY,808474,0.08,JRF20180902-065100-394598,JRF20180902-065101-016597
400152574,2018:09:02:06:51:01:825,BUY,808478,0.06,JRF20180902-065100-394598,JRF20180902-065101-453188
400152575,2018:09:02:06:51:01:825,BUY,808481,1.70335635,JRF20180902-065100-394598,JRF20180902-065101-773835
400152576,2018:09:02:06:51:01:825,BUY,808482,0.011,JRF20180902-065100-394598,JRF20180902-065056-086174
400152577,2018:09:02:06:51:01:825,BUY,808483,0.01,JRF20180902-065100-394598,JRF20180902-065100-086841
400152578,2018:09:02:06:51:01:825,BUY,808491,0.20564365,JRF20180902-065100-394598,JRF20180902-065100-788182
400152579,2018:09:02:06:51:01:872,BUY,808491,0.16635635,JRF20180902-065101-361535,JRF20180902-065100-788182
400152580,2018:09:02:06:51:01:872,SELL,808500,0.01,JRF20180902-065101-361535,JRF20180902-065101-227690
400152581,2018:09:02:06:51:01:966,BUY,808505,0.01,JRF20180902-065058-086628,JRF20180902-065101-151353
400152582,2018:09:02:06:51:02:044,SELL,808500,0.01,JRF20180902-065101-361535,JRF20180902-065101-111562
400152583,2018:09:02:06:51:02:075,SELL,808500,0.062481,JRF20180902-065101-361535,JRF20180902-065101-800460
400152584,2018:09:02:06:51:02:075,SELL,808500,0.05,JRF20180902-065101-361535,JRF20180902-065101-800462
400152585,2018:09:02:06:51:02:122,SELL,808500,0.01,JRF20180902-065101-361535,JRF20180902-065101-043942
400152586,2018:09:02:06:51:02:138,BUY,808505,0.14,JRF20180902-065102-016604,JRF20180902-065101-151353
